event_id,event_name,datetime,city,country,location,data_navigate
889403,Madonna,2015-10-22 19:00:00,Glendale,USA,Gila River Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889403
889410,Madonna,2015-10-24 20:00:00,Las Vegas,USA,MGM Grand Garden Arena Hotel,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889410
889414,Madonna,2015-10-27 20:00:00,Inglewood,USA,The Forum,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889414
889386,Madonna,2015-11-04 20:00:00,Cologne,Germany,Lanxess Arena ,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889386
916621,Madonna,2015-11-05 20:00:00,Cologne,Germany,Lanxess Arena ,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-916621
889380,Madonna,2015-11-07 20:00:00,Prague,"Czech Rep., The",O2 Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889380
889387,Madonna,2015-11-10 20:00:00,Berlin,Germany,O2 World Berlin,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889387
916622,Madonna,2015-11-11 20:00:00,Berlin,Germany,O2 World Berlin,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-916622
889390,Madonna,2015-11-14 20:00:00,Stockholm,Sweden,Tele 2 Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889390
889388,Madonna,2015-11-17 20:00:00,Herning,Denmark,Jyske Bank Boxen,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889388
889381,Madonna,2015-11-21 20:00:00,Turin,Italy,Pala Alpitour,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889381
916632,Madonna,2015-11-22 20:00:00,Turin,Italy,Pala Alpitour,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-916632
889383,Madonna,2015-11-24 20:00:00,Barcelona,Spain,Palau Sant Jordi,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889383
889384,Madonna,2015-11-28 20:00:00,Antwerpen,Belgium,Sportpaleis,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889384
889377,Madonna,2015-12-01 20:00:00,London,United Kingdom,The O2 arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889377
889391,Madonna,2015-12-05 20:00:00,Amsterdam,Holland,Ziggo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889391
904930,Madonna,2015-12-06 20:00:00,Amsterdam,Holland,Ziggo Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-904930
889385,Madonna,2015-12-09 18:00:00,Paris,France,Paris Bercy,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889385
905408,Madonna,2015-12-10 18:00:00,Paris,France,Paris Bercy,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-905408
889378,Madonna,2015-12-14 20:00:00,Manchester,United Kingdom,Phones 4u Arena Manchester,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889378
889382,Madonna,2015-12-16 20:00:00,Birmingham,United Kingdom,Barclaycard Arena (NIA Birmingham),www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889382
889394,Madonna,2015-12-20 20:00:00,Glasgow,United Kingdom,Hydro,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Madonna-Tickets/E-889394
703961,Michael Buble,2015-03-17 20:00:00,Durban,South Africa,Moses Mabhida Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Michael-Buble-Tickets/E-703961
703962,Michael Buble,2015-03-19 20:00:00,Cape Town,South Africa,Cape Town Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Michael-Buble-Tickets/E-703962
703963,Michael Buble,2015-03-21 20:00:00,Johannesburg,South Africa,The Coca Cola Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Michael-Buble-Tickets/E-703963
703964,Michael Buble,2015-03-22 20:00:00,Johannesburg,South Africa,The Coca Cola Dome,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/Michael-Buble-Tickets/E-703964
661800,One Direction,2015-03-18 20:00:00,Hong Kong,Hong Kong,AsiaWorld Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661800
661805,One Direction,2015-03-21 20:00:00,Pasay,"Philippines, The",Mall of Asia Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661805
698878,One Direction,2015-03-22 20:00:00,Pasay,"Philippines, The",Mall of Asia Arena,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-698878
661811,One Direction,2015-03-25 20:00:00,Jakarta,Indonesia,Gelora Bung Karno Stadium,www.viagogo.com/ww/Concert-Tickets/Rock-and-Pop/One-Direction-Tickets/E-661811
